TEMPERATURA_PROMEDIO;HUMEDAD_RELATIVA_PROMEDIO;PRECIPITACION
4.69;76.52;0
5.15;76.6;0.34
3.11;95.03;5.66
4.07;90.19;2.35
6.29;67.85;0
6.17;68.6;0
4.5;90.27;0.41
5.56;76.53;0.02
6.25;69.36;0
5.34;76.29;0
5.77;69.01;0.83
6.7;58.54;0
4.61;85.82;0
3.82;86.96;3.23
3.57;90.75;4.91
2.97;96.21;2.5
4.35;88.86;2.62
4.87;83.55;0.24
5.41;72.85;0
5.38;72.02;4.98
5.78;68.17;0
5.93;61.7;0
5.74;51.37;0
5.01;61.29;0
5.1;67.09;0.73
5.38;66.1;0
5.16;73.44;12.77
4.43;80.78;2.53
5.17;55.92;0
5.53;47.97;0
6.2;41.85;0
6.73;33.01;0
5.92;40.56;0
6.29;25.43;0
5.36;29.62;0
5.04;47.93;0
4.75;43.2;0
5.29;31.28;0
4.2;49.89;0
3.7;63.65;0
3.29;77.4;0
3.83;77.17;1.75
4.37;71.45;0.02
3.61;86.34;1.24
3.77;90.05;0
3.81;76.11;0.08
4.55;72.13;0
4.28;77;0
3.93;80.49;0.1
1.79;90.93;0.07
0.17;98.94;1.75
-0.03;97.08;2.98
2.56;86.36;4.74
4.33;54.47;0
4.59;42.83;0
4.68;53.92;0
4.72;59.17;0
4.28;53.06;0
3.93;69.94;0
4.97;70.64;0
4.46;71.48;0
2.58;88.66;1.5
3.99;66.61;0
4.51;48.27;0
4.1;55.09;0
5.44;46.58;0
5.18;49.13;0
4.39;61.56;0
4.64;71.18;1.33
3.94;75.2;2.35
4.08;71.5;1.56
4.63;25.02;0
4.05;30.04;0
3.78;61.13;0.65
5.58;56.65;0.15
5.47;54.07;0
5.04;35.92;0
4.89;14.96;0
4.51;20.66;0
4.2;30.87;0
3.85;38.3;0
3.67;44.47;0
3.97;42.02;0
3.94;55.81;0
3.79;59.1;0.05
4.08;59.83;0
3.98;61.82;0
5.09;50.29;0
6.33;33.27;0
5.7;32.32;0
4.82;48.11;0
5.37;47.47;0
4.81;52.79;0
4.29;61.11;0
4.4;64.18;0
3.47;69.97;0.07
3.55;69.91;0.03
3.06;60.97;0
3.71;34.03;0
3.74;52.72;0
3.72;64.22;0.02
3.85;64.74;0.03
4.36;69.69;0.19
3.9;61.62;0.03
4.26;60.51;0.05
5.11;48.48;0
4.3;46.08;0
5.1;34.68;0
3.74;53.72;0
4.17;52.87;0
3.97;54.37;0
4.21;54.71;0
5;57.53;0
5.77;56.38;0
5.94;49.72;0
4.11;55.85;0
2.63;78.7;2.16
2.65;87.8;3.3
4.58;67.49;2.21
4.42;63.6;4.57
4.9;56.69;0
3.98;68.7;0.34
4.65;63.1;1.29
4.14;64.4;0.54
3.06;74.29;0
5.17;55.92;0
5.87;50.15;0
5.44;43.52;0
4.64;58.52;0
4.36;55.01;0
4.78;36.97;0
4.51;48.11;0
5.68;31.66;0
5.75;41.36;0
5.48;46.59;0
5.34;56.11;0.03
5.4;55.88;0
5.78;56.04;0
5.51;60.46;0
5.5;62.52;0.03
5.77;65.96;0
5.91;56.84;0
5.65;45.06;0
